County,Agency
Ontario,Ontario County Park PD
Allegany,Alfred Vg PD
Monroe,Monroe County Park PD
Allegany,SUNY College At Alfred
Nassau,Lynbrook Vg PD
Hamilton,Hamilton County State Police
Sullivan,Fallsburg Town PD
Orange,Wallkill Town PD
Schoharie,Cobleskill Vg PD
Orange,Walden Vg PD
Ontario,Ontario County State Police
Erie,Akron Vg PD
Ontario,County Total
Chautauqua,County Total
Westchester,Briarcliff Manor Vg PD
Saratoga,County Total
Ontario,Ontario County Sheriff
Hamilton,Hamilton County State Police
Schoharie,Schoharie County Sheriff
Niagara,County Total
Oneida,Sherrill City PD
Ulster,Ulster County State Police
Suffolk,Asharoken Vg PD
Suffolk,Ocean Beach Vg PD
Cattaraugus,Olean City PD
Wayne,Sodus Vg PD
Chenango,County Total
Columbia,Germantown Town PD
Suffolk,Sag Harbor Vg PD
Westchester,Briarcliff Manor Vg PD
Niagara,Niagara County Sheriff
Herkimer,Little Falls City PD
Ulster,Plattekill Town PD
Ulster,Ulster County Park PD
Allegany,Independence Town PD
Suffolk,Suffolk County MTA
Ulster,Marlborough Town PD
Wayne,Sodus Vg PD
Rensselaer,Hoosick Falls Vg PD
Westchester,Rye City PD
Allegany,Belmont Vg PD
Orange,Florida Vg PD
St Lawrence,Norwood Vg PD
Schuyler,Schuyler County Sheriff
Delaware,Beerston PCT (NYC-BWSP)
Warren,Glens Falls City PD
Rockland,Ramapo Town PD
Westchester,Tarrytown Vg PD
Cortland,SUNY College At Cortland
Herkimer,Little Falls City PD
Lewis,Lewis County Sheriff
Suffolk,Southold Town PD
Nassau,Glen Cove City PD
Chenango,County Total
Erie,Lancaster Town PD
Erie,Lancaster Vg PD
Chautauqua,Chautauqua County Sheriff
Monroe,Brockport Vg PD
Orange,Washingtonville Vg PD
Montgomery,Fort Plain Vg PD
St Lawrence,SUNY College at Potsdam
Cattaraugus,Cattaraugus County State Police
Steuben,Wayland Vg PD
Dutchess,East Fishkill Town PD
Orange,Goshen Vg PD
Broome,Johnson City Vg PD
Genesee,Batavia City PD
Wyoming,Wyoming County Sheriff
Putnam,Kent Town PD
Nassau,Floral Park Vg PD
Putnam,Kent Town PD
Nassau,Old Westbury Vg PD
Rockland,Piermont Vg PD
Steuben,Painted Post Vg PD
Delaware,Walton Vg PD
Nassau,Garden City Vg PD
Westchester,Greenburgh Town PD
Nassau,Port Washington Police District
Allegany,Belmont Vg PD
Orange,Warwick Town PD
Herkimer,Frankfort Vg PD
Livingston,Geneseo Vg PD
Orange,Walden Vg PD
Delaware,Sidney Vg PD
Montgomery,Montgomery County Sheriff
Ontario,Phelps Vg PD
Rockland,Rockland County State Police
Saratoga,Saratoga County (RR-D and H)
Herkimer,Webb Town PD
Ulster,Marlborough Town PD
Chautauqua,Dunkirk City PD
Orange,Montgomery Town PD
Albany,Colonie Town PD
Genesee,Genesee County Park PD
Suffolk,Quogue Vg PD
Chemung,Chemung County Park PD
Nassau,Freeport Vg PD
Westchester,Ardsley Vg PD
Columbia,Chatham Vg PD
Onondaga,Camillus Town and Vg PD
Westchester,Scarsdale Vg PD
Madison,Cazenovia Vg PD
Seneca,Seneca County Sheriff
Madison,Oneida City PD
Westchester,Westchester Co Dept Pub Safety
Tompkins,Ithaca College PD
Oneida,Oneida County (RR-RC)
Westchester,Greenburgh Town PD
Orange,Maybrook Vg PD
Essex,Ticonderoga Town PD
Westchester,Pelham Manor Vg PD
Jefferson,Dexter Vg PD
Dutchess,Dutchess County State Police
Essex,Moriah Town PD
Madison,Madison County State Police
Oneida,Camden Vg PD
Erie,Tonawanda City PD
Chautauqua,Chautauqua County State Police
Erie,Akron Vg PD
Dutchess,East Fishkill Town PD
Rockland,Haverstraw Vg PD
Nassau,County Total
Onondaga,Cicero Town PD
Sullivan,Monticello Vg PD
Cayuga,Port Byron Vg PD
Chautauqua,SUNY College At Fredonia
Putnam,Kent Town PD
Delaware,Sidney Vg PD
Onondaga,Onondaga County Sheriff
Clinton,SUNY College At Plattsburgh
Westchester,Westchester Co Dept Pub Safety
Sullivan,Liberty Vg PD
Wyoming,Warsaw Vg PD
Suffolk,Suffolk County Park PD
Westchester,Pelham Vg PD
Montgomery,St Johnsville Vg PD
Chautauqua,Dunkirk City PD
Chemung,Elmira Town PD
Onondaga,Manlius Town PD
Albany,Green Island Vg PD
Nassau,Old Westbury Vg PD
Allegany,Allegany County Sheriff
Albany,Menands Vg PD
Orange,Cornwall-On-Hudson Vg PD
Onondaga,Onondaga County Sheriff
Tompkins,Tompkins County Park PD
Onondaga,Dewitt Town PD
Dutchess,Rhinebeck Vg PD
Genesee,Genesee County Park PD
Allegany,Angelica Vg PD
Sullivan,Neversink PCT (NYC-BWSP)
Rockland,Clarkstown Town PD
Tompkins,Ithaca City PD
New York,County Total
Orange,Middletown City PD
Erie,SUNY - Buffalo
Jefferson,Cape Vincent Vg PD
Westchester,Lewisboro Town PD
Wayne,Palmyra Vg PD
Niagara,Niagara Falls City PD
Niagara,Youngstown Vg PD
Cattaraugus,Cattaraugus Vg PD
Livingston,Livingston County Sheriff
Putnam,Putnam County State Police
Onondaga,Baldwinsville Vg PD
Ulster,Saugerties Town PD
Orange,Walden Vg PD
Nassau,Garden City Vg PD
Westchester,Briarcliff Manor Vg PD
Westchester,Pelham Manor Vg PD
Chemung,Chemung County Park PD
Cattaraugus,County Total
Onondaga,SUNY - Upstate Medical Center
Putnam,Putnam Valley Town PD
Nassau,Glen Cove City PD
Washington,Greenwich Vg PD
Cattaraugus,Cattaraugus Vg PD
Delaware,Delaware County Sheriff
Westchester,Yonkers City PD
Orange,Newburgh City PD
Onondaga,East Syracuse Vg PD
Livingston,Dansville Vg PD
Chautauqua,Dunkirk City PD
Tompkins,Tompkins County Sheriff
Westchester,Bedford Town PD
Broome,Port Dickinson Vg PD
Allegany,SUNY College at Alfred
Orange,Orange County State Police
Cayuga,Port Byron Vg PD
Franklin,Tupper Lake Vg PD
Ontario,Ontario County Park PD
Westchester,Mount Vernon City PD
Wayne,Lyons Vg PD
Sullivan,Woodridge Vg PD
Region Total,Region Total
Jefferson,Brownville Vg PD
Delaware,Delaware County Sheriff
Schenectady,County Total
Dutchess,Red Hook Vg PD
St Lawrence,St Lawrence County Park PD
Ontario,County Total
Orange,Warwick Town PD
Tompkins,Dryden Vg PD
Fulton,Fulton County State Police
Saratoga,South Glens Falls Vg PD
Nassau,Floral Park Vg PD
Schoharie,Schoharie County State Police
Rensselaer,County Total
Oneida,County Total
Rensselaer,Rensselaer County State Police
Herkimer,Webb Town PD
Sullivan,Fallsburg Town PD
Monroe,Fairport Vg PD
Westchester,New Rochelle City PD
Chemung,Elmira Town PD
Franklin,Tupper Lake Vg PD
Niagara,Niagara Town PD
Ulster,Marlborough Town PD
Ulster,Ulster County Sheriff
Rensselaer,County Total
Saratoga,Saratoga County Park PD
Schuyler,County Total
Onondaga,Baldwinsville Vg PD
Westchester,Ossining Vg PD
Nassau,Rockville Centre Vg PD
Nassau,Kensington Vg PD
Allegany,Cuba Town PD
Dutchess,Millbrook Vg PD
Wayne,Wayne County State Police
Ulster,Lloyd Town PD
Rockland,Haverstraw Town PD
Tompkins,Tompkins County Park PD
Clinton,Clinton County Sheriff
Genesee,County Total
Oneida,Vernon Vg PD
Cortland,Homer Vg PD
Ulster,Shandaken Town PD
Erie,Tonawanda Town PD
Westchester,Westchester County (RR-MN)
Albany,Ravena Vg PD
Oswego,Oswego County State Police
Niagara,Lewiston Town PD
Saratoga,South Glens Falls Vg PD
Madison,Cazenovia Vg PD
Onondaga,Camillus Town and Vg PD
Oswego,Phoenix Vg PD
Washington,Hudson Falls Vg PD
Hamilton,County Total
Steuben,Caton Town PD
Oswego,Central Square Vg PD
Orange,Montgomery Vg PD
Westchester,Yorktown Town PD
Schoharie,Schoharie County Sheriff
Livingston,Livingston County Park PD
St Lawrence,County Total
Franklin,County Total
Genesee,LeRoy Vg PD
Westchester,Westchester County MTA
Schoharie,County Total
Oneida,Sherrill City PD
Schoharie,Schoharie Vg PD
Erie,Lackawanna City PD
Westchester,Harrison Town PD
Erie,Erie County Park PD
Allegany,Allegany County Sheriff
Cortland,SUNY College At Cortland
Chenango,Chenango County Park PD
Westchester,Dobbs Ferry Vg PD
Orange,Orange County Park PD
Sullivan,County Total
Suffolk,Southampton Vg PD
Hamilton,County Total
Oneida,Yorkville Vg PD
Franklin,Tupper Lake Vg PD
Oswego,Central Square Vg PD
Steuben,Hammondsport Vg PD
Fulton,Fulton County Sheriff
Sullivan,Sullivan County Sheriff
Nassau,Laurel Hollow Vg PD
Suffolk,Suffolk County State Police
Nassau,Lynbrook Vg PD
Livingston,Nunda Town and Vg PD
Allegany,Belmont Vg PD
Oneida,Oriskany Vg PD
Tompkins,Ithaca College PD
Suffolk,Northport Vg PD
Erie,Amherst Town PD
Monroe,SUNY College At Brockport
Otsego,SUNY College at Oneonta
Rensselaer,Rensselaer City PD
Orleans,Albion Vg PD
Genesee,Genesee County Sheriff
Oneida,Kirkland Town PD
Columbia,Columbia County Park PD
St Lawrence,SUNY College at Canton
Broome,Deposit Vg PD
Orange,Cornwall Town PD
Monroe,Monroe County Sheriff
Otsego,Otsego County State Police
Erie,Erie County Park PD
Allegany,SUNY College At Alfred
Livingston,Nunda Town and Vg PD
Oneida,Whitestown Town PD
Sullivan,Liberty Vg PD
Westchester,Elmsford Vg PD
Onondaga,DeWitt Town PD
Schuyler,Schuyler County Sheriff
Westchester,Sleepy Hollow Vg PD
Columbia,Chatham Vg PD
Cayuga,Cayuga County State Police
Niagara,Niagara County Sheriff
Tompkins,Dryden Vg PD
Clinton,Plattsburgh City PD
Westchester,Mamaroneck Vg PD
Chemung,Chemung County Sheriff
Suffolk,Suffolk County (RR-LI)
Suffolk,Shelter Island Town PD
Wyoming,Perry Vg PD
Dutchess,East Fishkill Town PD
Onondaga,Syracuse City PD
Erie,Orchard Park Town PD
Livingston,Caledonia Vg PD
Orange,Maybrook Vg PD
Clinton,County Total
Schoharie,SUNY College At Cobleskill
Nassau,Lynbrook Vg PD
Steuben,Steuben County Park PD
Monroe,Webster Town and Vg PD
Otsego,Oneonta City PD
Chenango,New Berlin Town PD
Onondaga,Onondaga County Park PD
Oneida,Rome City PD
Herkimer,Webb Town PD
Franklin,County Total
Seneca,Seneca Falls Vg PD
Warren,Warren County State Police
Region Total,Region Total
Westchester,Mamaroneck Vg PD
Yates,County Total
Schoharie,Schoharie County Sheriff
Oneida,Kirkland Town PD
Oneida,Oneida County Park PD
Broome,Binghamton City PD
Steuben,Avoca Vg PD
St Lawrence,Massena Vg PD
Herkimer,Mohawk Vg PD
Albany,Altamont Vg PD
Delaware,Delaware County State Police
Onondaga,Clay Town PD
Suffolk,Lloyd Harbor Vg PD
Ulster,Ulster County Park PD
Madison,Cazenovia Vg PD
Rockland,County Total
Westchester,Buchanan Vg PD
Erie,Orchard Park Town PD
Wayne,Macedon Town and Vg PD
Rockland,Orangetown Town PD
Westchester,Peekskill City PD
Rensselaer,Schodack Town PD
Genesee,Genesee County State Police
Onondaga,Clay Town PD
Greene,Athens Vg PD
Saratoga,Saratoga Springs City PD
Jefferson,West Carthage Vg PD
Chautauqua,Ellicott Town PD
Erie,Kenmore Vg PD
Ontario,County Total
Suffolk,Northport Vg PD
Rockland,Rockland County (RR-CSX)
Oneida,Camden Vg PD
Herkimer,Mohawk Vg PD
Franklin,Tupper Lake Vg PD
Rockland,Ramapo Town PD
Orange,Deerpark Town PD
Seneca,Seneca County Park PD
Allegany,Allegany County State Police
Delaware,Colchester Town PD
Monroe,Fairport Vg PD
Herkimer,Little Falls City PD
Jefferson,Watertown City PD
Westchester,White Plains City PD
Montgomery,Canajoharie Vg PD
Niagara,County Total
Onondaga,Marcellus Vg PD
Dutchess,Beacon City PD
Chemung,Chemung County Sheriff
Nassau,Nassau County MTA
Columbia,Germantown Town PD
Oswego,SUNY College At Oswego
Ulster,Ulster County State Police
Suffolk,Southampton Town PD
Tioga,Tioga County State Police
Broome,Binghamton City PD
Greene,Athens Vg PD
Seneca,Interlaken Vg PD
Clinton,County Total
Westchester,Westchester County Park PD
Madison,Madison County Sheriff
Lewis,County Total
Albany,Watervliet City PD
Washington,Granville Vg PD
Rensselaer,Troy City PD
Rensselaer,Rensselaer County Park PD
Erie,SUNY College at Buffalo
Delaware,Hancock Vg PD
Schenectady,Schenectady City PD
Westchester,Dobbs Ferry Vg PD
Montgomery,Amsterdam City PD
Westchester,Larchmont Vg PD
Onondaga,Marcellus Vg PD
Saratoga,Waterford Town and Vg PD
Wyoming,Wyoming County State Police
Essex,Lake Placid Vg PD
Westchester,Port Chester Vg PD
Suffolk,Sag Harbor Vg PD
Dutchess,Dutchess County MTA
Orange,Chester Town PD
Westchester,Bedford Town PD
Hamilton,Inlet Town PD
Livingston,Mount Morris Vg PD
Suffolk,Southampton Vg PD
Jefferson,Sackets Harbor Vg PD
Westchester,Pelham Manor Vg PD
Erie,County Total
Herkimer,Little Falls City PD
Wyoming,Perry Vg PD
Orange,Newburgh City PD
Livingston,SUNY College at Geneseo
Otsego,Otsego County State Police
Seneca,Seneca County Sheriff
Livingston,Caledonia Vg PD
Westchester,Port Chester Vg PD
Monroe,County Total
Essex,Ticonderoga Town PD
Suffolk,Suffolk County State Police
Schenectady,Scotia Vg PD
Onondaga,Manlius Town PD
Erie,Erie County State Police
Cortland,County Total
Chautauqua,Lakewood-Busti PD
Orleans,County Total
Westchester,Larchmont Vg PD
Chemung,County Total
Rockland,Rockland County Park PD
Onondaga,Onondaga County State Police
Tompkins,Tompkins County Park PD
Westchester,Pleasantville Vg PD
Westchester,Rye City PD
Delaware,County Total
Chemung,Elmira City PD
Broome,Binghamton City PD
Steuben,Bath Vg PD
Westchester,Yonkers City PD
Orange,Greenwood Lake Vg PD
Suffolk,Southampton Vg PD
Onondaga,Camillus Town and Vg PD
Otsego,Otsego County (RR-D and H)
Herkimer,Frankfort Town PD
Nassau,Lake Success Vg PD
Westchester,Tarrytown Vg PD
Cattaraugus,Portville Vg PD
Orange,Deerpark Town PD
Rockland,Rockland County Sheriff
Madison,Madison County Sheriff
Westchester,Bedford Town PD
Suffolk,Huntington Bay Vg PD
Sullivan,Sullivan County Sheriff
Westchester,New Castle Town PD
Orange,Goshen Vg PD
Westchester,Lewisboro Town PD
Otsego,Cooperstown Vg PD
Essex,County Total
Oneida,Rome City PD
Montgomery,Montgomery County Sheriff
Rensselaer,East Greenbush Town PD
Niagara,Niagara County Park PD
Allegany,Cuba Town PD
Broome,Port Dickinson Vg PD
Herkimer,Ilion Vg PD
Erie,Eden Town PD
Oswego,Fulton City PD
Monroe,Gates Town PD
Onondaga,Baldwinsville Vg PD
Nassau,Old Westbury Vg PD
Albany,Green Island Vg PD
Onondaga,County Total
Franklin,Malone Vg PD
Saratoga,Saratoga County Park PD
Livingston,County Total
Madison,Hamilton Vg PD
Columbia,Hudson City PD
Herkimer,Webb Town PD
Schoharie,Schoharie County Park PD
Monroe,Ogden Town PD
Erie,Cheektowaga Town PD
Orleans,Albion Vg PD
Jefferson,Black River Vg PD
Tioga,County Total
Sullivan,Sullivan County Sheriff
Orange,Highlands Town PD
Jefferson,West Carthage Vg PD
Nassau,Kensington Vg PD
Oswego,Oswego County State Police
Monroe,Gates Town PD
Otsego,Cooperstown Vg PD
Albany,SUNY - Albany
Columbia,Chatham Vg PD
Oswego,Oswego County Sheriff
Albany,SUNY - Albany
Herkimer,Herkimer County Sheriff
Seneca,Seneca County State Police
Oneida,Camden Vg PD
Otsego,Cooperstown Vg PD
Rockland,Stony Point Town PD
Westchester,Pleasantville Vg PD
Westchester,SUNY College At Purchase
Washington,Washington County State Police
Suffolk,Ocean Beach Vg PD
Washington,Salem Vg PD
Erie,Kenmore Vg PD
Madison,SUNY College At Morrisville
Columbia,County Total
Chenango,Chenango County Sheriff
Dutchess,Poughkeepsie Town PD
Orange,Montgomery Vg PD
Steuben,Painted Post Vg PD
Genesee,Genesee County (RR-RC)
Onondaga,Baldwinsville Vg PD
Nassau,Nassau County Park PD
Oneida,New Hartford Town and Vg PD
Oneida,SUNY College At Utica/Rome
Cattaraugus,Salamanca City PD
Oneida,County Total
Warren,Warren County Sheriff
Tompkins,Groton Vg PD
Hamilton,Hamilton County State Police
Sullivan,County Total
Onondaga,County Total
Cayuga,Auburn City PD
Onondaga,Solvay Vg PD
Steuben,Corning City PD
Essex,Essex County Sheriff
Sullivan,Sullivan County State Police
Suffolk,Suffolk County PD
Suffolk,Asharoken Vg PD
Cortland,SUNY College At Cortland
Chemung,Horseheads Vg PD
Nassau,Port Washington Police District
Delaware,Beerston PCT (NYC-BWSP)
Schenectady,Schenectady County State Police
Delaware,Delaware County (RR-RC) 
Jefferson,Carthage Vg PD
Chautauqua,Chautauqua County State Police
Oswego,Oswego City PD
Jefferson,Jefferson County Sheriff
Cortland,Cortland County State Police
Tompkins,Cornell University Police
Dutchess,Poughkeepsie Town PD
Clinton,SUNY College At Plattsburgh
Westchester,Peekskill City PD
Oneida,Vernon Vg PD
Nassau,Nassau County State Police
Tompkins,Groton Vg PD
Herkimer,Frankfort Town PD
Ulster,Shawangunk Town PD
Albany,Cohoes City PD
Erie,County Total
Seneca,Waterloo Vg PD
Orange,Goshen Town PD
Delaware,SUNY College at Delhi
Dutchess,Beacon City PD
Oneida,Kirkland Town PD
Westchester,Westchester Co Dept Pub Safety
Westchester,Tarrytown Vg PD
Washington,Fort Edward Vg PD
Broome,Broome County Park PD
Onondaga,Skaneateles Vg PD
Putnam,County Total
Erie,Angola Vg PD
Jefferson,Jefferson County Sheriff
Orange,Orange County (RR-MN)
Ulster,Shawangunk Town PD
Monroe,Gates Town PD
Essex,County Total
Rensselaer,Rensselaer County Sheriff
Orange,Orange County Sheriff
Westchester,SUNY College At Purchase
Orange,Cornwall Town PD
Onondaga,Onondaga County Park Rangers
Tompkins,County Total
Niagara,Niagara County (RR-CSX)
Oneida,Oriskany Vg PD
Tompkins,Tompkins County Park PD
Yates,Yates County Sheriff
Rockland,Haverstraw Town PD
Chemung,Chemung County (RR-RC) 
Oneida,Oneida County State Police
Albany,SUNY - Albany
Orange,Highlands Town PD
Suffolk,Huntington Bay Vg PD
Fulton,County Total
Cattaraugus,Portville Vg PD
Westchester,Pelham Vg PD
Suffolk,Asharoken Vg PD
Orleans,Holley Vg PD
Madison,Hamilton Vg PD
Chenango,Afton Vg PD
Warren,Bolton Town PD
Erie,Eden Town PD
Orange,Greenwood Lake Vg PD
Westchester,Tuckahoe Vg PD
Erie,Erie County (RR-NS)
Cattaraugus,Allegany Vg PD
Erie,Amherst Town PD
Orange,Cornwall Town PD
Greene,Greene County Sheriff
Schuyler,Schuyler County Park PD
Erie,West Seneca Town PD
Broome,Binghamton City PD
Clinton,Plattsburgh City PD
Putnam,Brewster Vg PD
Putnam,Putnam County MTA
Clinton,County Total
Onondaga,North Syracuse Vg PD
Suffolk,East Hampton Vg PD
Allegany,Wellsville Vg PD
Ulster,Woodstock Town PD
Onondaga,Solvay Vg PD
Washington,Greenwich Vg PD
Allegany,Cuba Town PD
Herkimer,Webb Town PD
Monroe,Monroe County Sheriff
Madison,Cazenovia Vg PD
Tioga,Waverly Vg PD
Rensselaer,Troy City PD
Westchester,Yorktown Town PD
Chautauqua,Westfield Vg PD
Westchester,Mount Kisco Vg PD
Westchester,Westchester County Park PD
Chautauqua,Fredonia Vg PD
Onondaga,Onondaga County Park PD
Ontario,Clifton Springs Vg PD
Seneca,Waterloo Vg PD
Nassau,Centre Island Vg PD
Monroe,Ogden Town PD
Chautauqua,Silver Creek Vg PD
Broome,Broome County State Police
Nassau,Hempstead Vg PD
Suffolk,Suffolk County Sheriff
Oneida,New York Mills Vg PD
Chenango,Oxford Vg PD
Columbia,Germantown Town PD
Rockland,Rockland County (RR-CSX)
Nassau,Freeport Vg PD
Orange,Highlands Town PD
Delaware,County Total
Chautauqua,Carroll Town PD
Niagara,Lockport City PD
Suffolk,Suffolk County Park PD
Rockland,Suffern Vg PD
Suffolk,Amityville Vg PD
Tompkins,Tompkins County Sheriff
Albany,Cohoes City PD
Wayne,Clyde Vg PD
Erie,Orchard Park Town PD
Westchester,County Total
Monroe,Webster Town and Vg PD
Livingston,Livingston County (RR-RC)
Tompkins,Tompkins County Park PD
St Lawrence,County Total
Westchester,Croton-Kensico PCT (NYC-BWSP)
Dutchess,Beacon City PD
Ontario,County Total
Sullivan,Neversink PCT (NYC-BWSP)
Schoharie,Cobleskill Vg PD
Westchester,Greenburgh Town PD
Suffolk,Suffolk County State Police
Erie,Hamburg Vg PD
Nassau,Lake Success Vg PD
Chautauqua,Chautauqua County Sheriff
Clinton,Clinton County Sheriff
Ulster,Woodstock Town PD
Broome,Broome County (RR-D and H)
Westchester,Yonkers City PD
Onondaga,Manlius Town PD
Delaware,Delhi Vg PD
Greene,Greene County (RR-CSX)
Washington,Granville Vg PD
Greene,Coxsackie Vg PD
St Lawrence,County Total
Fulton,Johnstown City PD
Cattaraugus,Portville Vg PD
Orange,Chester Vg PD
Steuben,Painted Post Vg PD
Seneca,Seneca County Sheriff
Orleans,Albion Vg PD
Orange,Florida Vg PD
Jefferson,Brownville Vg PD
Cayuga,Auburn City PD
Saratoga,Waterford Town and Vg PD
Chemung,County Total
Rockland,Haverstraw Town PD
Niagara,North Tonawanda City PD
Albany,Green Island Vg PD
Nassau,Old Westbury Vg PD
Montgomery,Amsterdam City PD
Clinton,Clinton County State Police
Rockland,Piermont Vg PD
Seneca,Waterloo Vg PD
Westchester,Rye Brook Vg PD
Columbia,Columbia County Sheriff
Monroe,Monroe County State Police
Rockland,Orangetown Town PD
Monroe,Ogden Town PD
Albany,Green Island Vg PD
Allegany,SUNY College At Alfred
Putnam,Kent Town PD
Niagara,Niagara County Park PD
Onondaga,Liverpool Vg PD
Westchester,Mount Pleasant Town PD
Chautauqua,Lakewood-Busti PD
Cattaraugus,Cattaraugus County State Police
Erie,Eden Town PD
Greene,Cairo Town PD
Wayne,County Total
Erie,Kenmore Vg PD
Oneida,Oneida County State Police
Herkimer,Frankfort Vg PD
Ulster,Shandaken Town PD
Seneca,Seneca County Sheriff
Columbia,Copake Town PD
Onondaga,Baldwinsville Vg PD
Nassau,Nassau County State Police
Westchester,New Castle Town PD
Rockland,South Nyack-Grand View PD
Tioga,Waverly Vg PD
Cattaraugus,Cattaraugus County Park PD
Westchester,Pleasantville Vg PD
Livingston,SUNY College at Geneseo
Cortland,SUNY College At Cortland
Seneca,Seneca County Park PD
Madison,Madison County Sheriff
Orange,Goshen Town PD
Erie,Eden Town PD
Jefferson,County Total
Dutchess,Dutchess County Sheriff
Fulton,Fulton County Sheriff
Clinton,Clinton County Park PD
Oneida,Rome City PD
Greene,County Total
Chautauqua,Carroll Town PD
Onondaga,Camillus Town and Vg PD
Clinton,Clinton County Park PD
Hamilton,Hamilton County Sheriff
Chemung,Chemung County State Police
Columbia,Columbia County State Police
Herkimer,Ilion Vg PD
Allegany,Cuba Town PD
Dutchess,Beacon City PD
Schoharie,County Total
Jefferson,Clayton Vg PD
Chautauqua,Jamestown City PD
Onondaga,Skaneateles Vg PD
Orange,Highland Falls Vg PD
St Lawrence,Ogdensburg City PD
Orange,Port Jervis City PD
Chautauqua,Jamestown City PD
Rockland,Orangetown Town PD
Erie,Brant Town PD
Oswego,SUNY College At Oswego
Schenectady,Schenectady City PD
Chautauqua,Carroll Town PD
Allegany,Allegany County State Police
Dutchess,Rhinebeck Vg PD
Warren,Warren County State Police
Schenectady,Glenville Town PD
Allegany,Cuba Town PD
Albany,County Total
Albany,County Total
Schoharie,Schoharie County Sheriff
Suffolk,Sag Harbor Vg PD
Orange,Chester Town PD
Clinton,Clinton County State Police
Orange,Warwick Town PD
Ulster,Ulster County Sheriff
Washington,County Total
Orleans,Orleans County Park PD
Wayne,Newark Vg PD
Sullivan,Liberty Vg PD
Ulster,Olive Town PD
Clinton,County Total
Nassau,Long Beach City PD
Broome,Broome County Sheriff
Saratoga,Ballston Spa Vg PD
Albany,Watervliet City PD
Jefferson,Dexter Vg PD
Schenectady,County Total
Orange,Walden Vg PD
Fulton,Fulton County State Police
Washington,Hudson Falls Vg PD
Warren,Bolton Town PD
Westchester,Peekskill City PD
Seneca,Seneca Falls Town PD
Albany,Colonie Town PD
Albany,Cohoes City PD
Hamilton,Inlet Town PD
Nassau,Nassau County Park PD
Herkimer,Ilion Vg PD
Allegany,Belmont Vg PD
Oneida,County Total
Nassau,Sands Point Vg PD
Westchester,Scarsdale Vg PD
Greene,Greene County Sheriff
Cattaraugus,Cattaraugus County Sheriff
Cattaraugus,Cattaraugus Vg PD
Dutchess,Millbrook Vg PD
Onondaga,Onondaga County (RR-CSX)
Westchester,Dobbs Ferry Vg PD
Herkimer,Herkimer County State Police
Schuyler,Schuyler County Park PD
Cattaraugus,Cattaraugus County State Police
Orleans,Orleans County State Police
Putnam,Putnam County State Police
Clinton,Plattsburgh City PD
Orange,Wallkill Town PD
Herkimer,Herkimer Vg PD
Suffolk,Shelter Island Town PD
Nassau,Nassau County MTA
Schoharie,Schoharie Vg PD
Westchester,Ossining Town PD
Orange,Highland Falls Vg PD
Lewis,Lewis County State Police
Albany,Menands Vg PD
Westchester,Croton-Kensico PCT (NYC-BWSP)
Orange,Highland Falls Vg PD
Chenango,Chenango County Sheriff
Lewis,Lewis County Sheriff
Ulster,Ashokan PCT (NYC-BWSP)
Putnam,Putnam County MTA
Dutchess,Red Hook Vg PD
Rockland,Stony Point Town PD
Monroe,Monroe County (RR-CSX)
Fulton,Gloversville City PD
Herkimer,Dolgeville Vg PD
Tioga,Tioga County Sheriff
Niagara,Lockport City PD
Cattaraugus,Allegany Vg PD
Westchester,Ardsley Vg PD
Delaware,Delaware County Sheriff
Jefferson,Clayton Vg PD
Delaware,County Total
Suffolk,Riverhead Town PD
Cortland,Cortland City PD
Orange,Woodbury Town PD
Ulster,Olive Town PD
Herkimer,Dolgeville Vg PD
Orange,Newburgh City PD
Orange,Crawford Town PD
Oneida,Whitesboro Vg PD
Ulster,Ulster Town PD
Wyoming,Wyoming County Sheriff
Suffolk,Suffolk County PD
Cayuga,Auburn City PD
Westchester,Scarsdale Vg PD
Livingston,Avon Vg PD
Albany,Albany County Sheriff
Oneida,Oneida County Park PD
Chemung,Chemung County Sheriff
Madison,Canastota Vg PD
Chenango,Oxford Vg PD
Chenango,Bainbridge Vg PD
Washington,Washington County State Police
Madison,Madison County (RR-CSX)
Nassau,Port Washington Police District
Suffolk,Northport Vg PD
Orange,Mount Hope Town PD
Ulster,Rosendale Town PD
Oneida,SUNY College At Utica/Rome
Orleans,County Total
Otsego,Otsego County State Police
Chemung,Southport Town PD
Orange,Monroe Vg PD
Lewis,County Total
Chautauqua,Dunkirk City PD
Onondaga,Onondaga County Park Rangers
Monroe,Fairport Vg PD
Dutchess,East Fishkill Town PD
Jefferson,Sackets Harbor Vg PD
Madison,Madison County State Police
Tompkins,Groton Vg PD
Suffolk,Northport Vg PD
Livingston,Avon Vg PD
Nassau,Sands Point Vg PD
Monroe,Monroe County Sheriff
Onondaga,Onondaga County Sheriff
Westchester,Rye City PD
Erie,Orchard Park Town PD
Columbia,Columbia County Park PD
Hamilton,Hamilton County Sheriff
Schuyler,Schuyler County Park PD
St Lawrence,Potsdam Vg PD
Saratoga,Saratoga County State Police
Tioga,Tioga County State Police
Orleans,Orleans County Park PD
Broome,Binghamton City PD
Putnam,Carmel Town PD
Cortland,SUNY College at Cortland
Jefferson,Adams Vg PD
Rensselaer,Rensselaer County Park PD
Erie,Gowanda Vg PD
Clinton,SUNY College at Plattsburgh
Chautauqua,Carroll Town PD
Cayuga,Moravia Vg PD
Nassau,Nassau County MTA
Madison,Chittenango Vg PD
Washington,Cambridge Vg PD
